,text,category,label
39,"Aamir Shaikh
Best definition of Sunni and Shia is.... A Sunni Saddam Husain of Iraq attacks a Shia Iran and causes killing of 15 lakhs of Muslims.
Muslims are Sunni or Shia by birth.
It's only stupidity of extremism which forces one to claim righteous and denouce other as deviant.
People believing in religions of hatred cause always bloodshed and then that becomes a cult of Satan.",Overtly_Aggressive,True
40,"You do not have any issues with central party.
Your fake dialogue for the Ruling central party.",Covertly_Aggressive,True
41,"Whatsapp: +918409779696
NO REGISTRATION FEES
Earn Daily Rs 15,000 – 20,000 Monthly
By Working Two Hours Per Day
QUALIFICATION : Minimum 10TH pass
Key Skills : Computer Knowledge and some basic Internet Knowledge
For More Information Type “JOIN”
And Whatsapp us on this no",normal,False
42,"The #Antagonismविरोध friction 
Between Freedom of Speech and Seditious Libel in India

BJP dominated by RSS thru ABVP is trying protect their Government n their failed Policy of Hatred n intolerance in the shelter of #SaditionLaw: The law of sedition as provided for in Section 124A of the Indian Penal Code, 124-A was imported from various sources- the Treason Felony Act (operating in Britain)

The fundamental difference between the former Section 124A and the present one is that in the former the offence consisted in exciting or attempting to excite feelings of “disaffection"" as punishable, but in the latter the act of “bringing or attempting to bring into hatred or contempt the Government of India"" has also been made punishable.
Mahatma Gandhi in 1922 was convicted under the same law in the famous- Great Ahmedabad Trial, in which Gandhi was charged with sedition i.e for “spreading and inciting disaffection"" against the then British-ruled government.",Overtly_Aggressive,True
43,"A VIEW ON RBI STANCE OF TO BE NEUTRAL,AND ITS IMPACT ON MARKET SENTIMENTS?",normal,False
44,Super service movies  nice collection   in this season movies and actually  Indian best movies best all movies pl guy I respect visiting movies thanks. Pl aap dekha  bax office nice bhike nice movies pabhata nice role  pl share  movies aap ne nhi dekha ha te dekh na na bhole,normal,False
45,Bad...........,Covertly_Aggressive,True
46,Jason Snow  You know NOTHING about Israel but you know A lot about being stupid.,Overtly_Aggressive,True
47,Kick out all Bangladesh people from bengal and kick out Manama too,Covertly_Aggressive,True
48,"It seems, the state as well as the center have no concern for Kashmir. They want the chaos to continue and can fool all of India.",Covertly_Aggressive,True
49,"Very True, if a Hindu do his rituals it's his right, these Moulvis bring Muslims to this stage, that's the reason nobody respect them anymore",Covertly_Aggressive,True
50,"If political parties wants to give money thn give from party fund not from people's money 
I don't want to pay taxes for this waste of Indian economy 
I boycott",normal,False
51,"Suraj Yadav bhai he is not owner of company, blame ambani, bill gates who are owner",Overtly_Aggressive,True
52,Look around you we are not only in India we are all over the world.,Covertly_Aggressive,True
53,Sir for descent dinner u can use plastic money if it is earned in descent way,Covertly_Aggressive,True
54,"wats happening with sunpharma buyback?
wats happening with sunpharma?buyback?
wats happening with sunpharma?buyback?",normal,False
55,Guys youtube started streaming it quality much better and angle is also better,normal,False
56,"I'm ready to tolerate the agony of these queue 50 years more to see the INDIA what we need, what u promissed and what we deserve.. I'm with u respected PM.",Covertly_Aggressive,True
57,Big hands n politions will change their black money into 2000.so people of india don t want 2000 currency in market,normal,False
58,"Congress ko oxigen mil rahe hai 

Congress ke pass chance hai model developed kar de 

Appointment dena bandh kar de 

Bring in front Sachin pilot and jyotiraditya scindia",normal,False
59,Nothing new said by them. All we know it from very beginning.,normal,False
60,Muhammad Arif what he is saying is that Islam is the problem and has been like that since Mohamed was raping Aisha. If there was no Islam the world would be a better place. Makes sense right?,Overtly_Aggressive,True
61,Real surgical strike  dear your only dreaming about your cowerd army,Overtly_Aggressive,True
62,Time for introspection,normal,False
63,"Its only trust, no vote required..",Covertly_Aggressive,True
64,The industry has been penalised for something we have not done: Pawan Goenka,normal,False
65,Sad that Indian secularism is in the hands of you pathetic appeasers.,Overtly_Aggressive,True
66,"Yes he dumped his wife. So you bring a law banning instant talaq, bad men will still be able to use modi talaq. I think law shud jail wife dumpers like modi.",Overtly_Aggressive,True
67,"You people making pharma industry a villain.
God save this country.",normal,False
68,Manoj can ask Rajnath Singh to nab the culprits since Delhi Police comes under home ministry. Infact this is an embarrassing episode for the central Govt. It will be better for AAP if Kejriwal keeps his mouth shut.,Overtly_Aggressive,True
69,"Terriorst PM (Paid Media).....India.....

Killed Gandhi... Father of India....?
Killed 100+ Kashmiri in 2016.....?
Killed 100+ Civilian in 2016
Demonetization.....?

#Pakistan Pl Help......
#UnitedNation Pl Help......
#China Pl Help......",Overtly_Aggressive,True
70,Can you tell me I have bought 100000 shares of Moserbaer @ 11,normal,False
71,"Kevin S Karkera,,,its your choice to play bhajans ,who is stopping you from playing them five times",Covertly_Aggressive,True
72,If it is true than why media not showing the mutilated bodies it is my ? from INDIA TV. Dont make peoples polish and dont creat problem for your country INDIA.Because if India showing response of attack than the same response will be from pakistan side which we seen in normal on borders of both sides but only local people are affected not army so try to understand this is because of you (media) whole environment is disturb.Shame INDIA MEDIA.,Overtly_Aggressive,True
73,"There are many reasons why women choose to work, money may be just one of them and may be not even one of them. Why to be judgmental about what is right and what is wrong? Each to its own. Working mothers can also be great mothers and stay at home moms can be also not so great mothers. There cannot be any generalisation based on what women choose to do in their life",Covertly_Aggressive,True
74,The inability of the government to protect all women is the actual reason for the rise of violence against women.  first put your house in order,Covertly_Aggressive,True
75,"Well planed pathways to nations Economy. Good job sir, hates of your bold decision. 85 % citizens will be happy & Benefited.",normal,False
76,Donky/dog barks always at time of azan.,Overtly_Aggressive,True
77,Tell baba ramdev to introduce condoms in his wide range of products.let him feature in his own commercial.,Covertly_Aggressive,True
78,Ramnath. Pai. P u nailed it bro 😂😂😂,normal,False
79,Happiiness with people like you in this country.,Covertly_Aggressive,True
80,Riya Biswas it's high time you stop whining for no reason 'cause your statements ain't making any sense. So live in your own world as a retard liberal and naff off!,Overtly_Aggressive,True
81,We shall acquire stocks based on book value or on earnings?,normal,False
82,Then what is cpi doing in Kerala? Praising Hindus?,normal,False
83,"Why he never spoke in parliament... he should have talked all this in parliament and should have answered the question. What nation has achieved by this move, how much black money has been declared by hoarders and how many have been caught and brought to books, how many big industrialist and corporates and politicians and big govt officials declared their black money... 
Black money is still being generated and some of it is being caught everyday and a lot of BJP members themselves are being caught - this shows that this move will never be able to control future generation of black money.

Black money should be wiped out, hoarders should be punished but this move will deliver non of that.
It is like, to treat cancer doctor is prescribing cough & cold medicine. 

This is will not solve the problem of our nation.",Covertly_Aggressive,True
84,How to track eps and pe of share and valuate before buying any share,normal,False
85,I AM WORLD NUMBER  4  IN MONEY LAUNDERING......SONIA BOFORS GANDHI,normal,False
86,It is high time Congress Party INTROSPECTS itself..........why people have LOST FAITH in Congress Party.............................,normal,False
87,Emotional & honest people like you have no place in politics,Covertly_Aggressive,True
88,#BeyondTheNews | Sidelining the local leadership was the major mistake BJP made in Bihar where it had to face a humiliating defeat in 2015.,Covertly_Aggressive,True
89,He's completely lost the plot,normal,False
90,"What you sow, so you reap! When things worse than this happens to the common man, the government is hardly bothered. Tiwari go and complain to your Home Minister, Rajnath. See if he can help!  What goes round, comes round. Now, it is your turn.",Covertly_Aggressive,True
91,Going by any logic shirish cannot be successful even he is from film industry& cannot grow up if he is around logical person.,Covertly_Aggressive,True
92,HTC U Ultra First Look Video,normal,False
93,ANNA IS NOT MENTIONED IN THE CASE OF LOKPAL  GAURAKSHAK AND BJP POLICY .......WHY? Anna is doubtful,Covertly_Aggressive,True
94,shes in an abusive relationship and she doesnt know it!,Covertly_Aggressive,True
95,"Don't mistake to judge any company ETHICAL based on media reports. Go in details and you find many questions unanswered, many actions illogical....maybe ETHICAL is media management.....ETHICAL nowadays are BIG business.",Covertly_Aggressive,True
96,The problem with opposition is that they don't want to do anything and they don't want others to do anything for good of the Nation,Covertly_Aggressive,True
97,Always negative comments by Indian Express against BJP....Its journalism in worst form......no respect for such journalism,Overtly_Aggressive,True
98,"Hasan atif ,check ur Quran ,ibn ishag992,wht is that just study ur Quran bro ,",Covertly_Aggressive,True
99,Mr. Rohit...Meera is a grt lady undoubtedly...She is taking a good care of her husband and child...which is really grt...but I feel sorry for yr thinking ...I'm a student... Working really hard...bcoz I want to make my parents proud....N wanna work so that me n my future husband can together share all burden..be it financial or any thing else....Is there anything wrong with that???....N everyone have there priorities....N u r just no one to judge....Yr statement is reflection of yr character....,Covertly_Aggressive,True
100,"Akbar conquered Kashmir in 1587 AD. During his mughal rule the Hindus enjoyed security of person and property and were allotted high government posts. It was he, who, pleased with their intelligence, gave them the surname Pandit.[16] The Mughals rule was followed by that of Afghans. Gradually, many Kashmiris converted to Islam, leaving smaller population of Kashmiri Pandits who still practiced the Shaivite religion. Not much was done to win back the converts to Hinduism. The majority, though still remained Hindus in Jammu and Kashmir. Fact!!",Covertly_Aggressive,True
101,"What will you talk to Pakitan?Whom will you talk to?To Nawaz or to Pak army that defies Nawaz?Pakistan is not a nation.It has not evolved.It has remained the same barbaric jihadi group of satanic liers holding  the jihadi invaders as their ideals eyeing India with the same medieval cruelty ,greed and disrespect.War may be avoided for a while but it cannot be averted.Occupy Pakistan before it goes to the IS hands.",Overtly_Aggressive,True
102,"👄 Bot🎎 Powered🎅 By🐩 Prince👷 Fadii

🏨 See My Bot Speed  😽 India TV
♥ c h α υ δ h r ψ s 🌹 β ο τ τ ε r ♥
🏢 Saturday : 29 - April - 2017
🏨  Like Back♥ India TV
🏥 comment Late  58 detik :)
 🏪  Auto Comment By    Prince Fadii
 🏯 🔎 Baby-Bot.tk 💡",normal,False
103,Oh really?? I think you are investigating this case even more better than the police??,Covertly_Aggressive,True
104,Agree instead of using abuse words he could have express it in simple way..but his point is right..,Covertly_Aggressive,True
105,"Who the hell is he? An ISIS supporter and a broker who takes money from EU by blackmailing them in the name Syrian refuges. A dictator. Anyways, we all know what is happening in middle east, Turkey will have same story very soon. 😄",Overtly_Aggressive,True
106,Ahamed Razeen..Ignore such morons..They can't even afford to have their pictures..Which shows they are from IT cell to abuse.,Overtly_Aggressive,True
107,like this support have to show to our nation real hero's (solders) family also,normal,False
108,100 up for Punjab with David Miller and Glenn Maxwell in the middle.,normal,False
109,Show the bodies so that rest of India  is aware and Modi has to act,Covertly_Aggressive,True
110,Vishnu there vast different between citizen & hired labour. You can get detail about this.,Covertly_Aggressive,True
111,This matter should have been sorted out behind closed doors,normal,False
112,They will.always remain behind the curton,Covertly_Aggressive,True
113,"The people of India shouldn't allow this terrorist in their country. 
The only thing he will bring to India bad reputation. Any bilateral business % goes to ISIS  DAESH from Erdogan side. . 

Interestingly he made this speech in India about Khilafat which's the dream of his terrorist ISIS proxies too. 
""President Erdogan said that he was delighted to accept the honorary degree from a university which has played a significant role not only in India's freedom movement but has also supported the >Khilafat< movement in the 1920s, while standing by the Turkish people and its founders.""
Although not sure which so called ""world-peace"" they are talking about! It's for sure it's not our world/ planet. The only thing this Erdogan contributed in our world has so long been terrorism and destruction. 

http://indiatoday.intoday.in/story/jamia-millia-islamia-turkish-president-recep-tayyip-erdogan-doctorate/1/943255.html",Covertly_Aggressive,True
114,These so called activists r just for disturbing law & order   .........jamming the traffic,Overtly_Aggressive,True
115,Why psu banks like Canara n bank of Baroda not moving up,normal,False
116,Stupid pm ever,Overtly_Aggressive,True
117,"computer ji ...do not block me from the original news ..my ideas are needed for india ...so be open , allow me to represent",Covertly_Aggressive,True
118,"This bstrd group Islamic Express is making a news just to insult a Hindu legend. See the no. Of retweets and like they got who trolled Mr. Big B. This anti Hindu thing never will troll SRK or any Muslim actor. How we are allowing these anti Hindu media house to exist in India - a Hindu majority country. He gave his and Abhishek dancing to show the joy  and proud of the satellites launched. And he is not an ISRO scientist to give you exact no. Of satellites. And if it's his tweet how the hell are you decide whose picture he will post. 
Islamic Express you are now crossing the limit.
And the top troll tweet is from a mulla..Named emraan",Overtly_Aggressive,True
119,What BJP has done  when they are in power 2000 to 2004,Covertly_Aggressive,True
120,Should wait for the situation to clear up and get some explanation from the Tatas.,normal,False
121,Akali's and SS are both corrupt parties so off course they will bark with Mamta and Keju two biggest traitors!!!,normal,False
122,America jaise big country 40 cashless hai aur that was developed country.but our india is developing and modi ji make cashless hahaga is it possible!!!!,Covertly_Aggressive,True
123,Good to hear this. Over last few months people have advised to buy this share without any evidence. Do your own research. Don't go with the useless experts in market. 🤔,normal,False
124,is this real news ?..i don think so ...watch brain game,Covertly_Aggressive,True
125,"Kabla Ch.....go through this link ....hw ur BJP/RSS guys got caught transporting cow meat in Gujarat...!!
https://www.truthofgujarat.com/gujarat-bjp-exposed-bjp-car-caught-transporting-cow-meat/",normal,False
126,There are 21 Arab countries in the world that do not recognize Hebrew as a language. There is only one country in the world that recognizes Hebrew.,normal,False
127,"Dear Indian Express,
I feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines. The news about upcoming singer Nahid Afreen has been prepared without proper research and investigation. It was very sad to see that your journalists don't even know the difference between fatwa and appeal. 
A fatwa is a non-binding legal opinion issued only by a qualified jurist (Mufti) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as Fatwa is just a hard copy of an appeal signed by 46 men who believe in religious practices. The merit of appeal can be discussed on many grounds and in many dimensions but first and foremost, an appeal can not be called a legal opinion (Fatwa). 
We expect apology from your side for such a mistake.",Overtly_Aggressive,True
128,Are you saying this from the depth of your heart or  just to please hey Modi  ?,Covertly_Aggressive,True
129,He him self has approved that it was his fault of less Banking environment.... They them self have never encouraged their people to use Bank as mode of payment,normal,False
130,Sirtaz Sir. Your Nationalist feelings Should be eye opener for those who celebrate  terrorist as martyrs.  To disown even the dead  body  of a son shows your strength of character.,Covertly_Aggressive,True
131,Out dated thinking,Overtly_Aggressive,True
132,"warren buffett do not mislead,he is right hence he is rich",Covertly_Aggressive,True
133,Maha Ghaznavi read this.,normal,False
134,"Have u seen do u have authenticative information regarding ur allegation, Just inspired from ur boss.",normal,False
135,It empowers pharmacist to give medicine which is not fair,normal,False
136,He will not die this easy he has to suffer more gift of god more to come to this goon,Overtly_Aggressive,True
137,Is he not already dead? Dafan?,Covertly_Aggressive,True
138,i really don't think this fiber machine would really a tough competitor for Royal Enfield..,normal,False
139,We are looking to get approval for Masala Bonds in 8-10 days: Nitin Gadkari,normal,False
140,"But there isnt any ""leader opposition""",Covertly_Aggressive,True
141,"Param Pujye Sadgurudevji is innocent and Bhai Shree Mandeep Nagpalji is also innocent, i don't think that having a personal life with personal money is not good, Gurudevji has never told anyone to stop practicing their religion and follow him, he never told anyone to stop any-kind of bad habits, i know Mandeepji form years and i can bet it that he cannot drink, if someone likes having cars it is not bad if he has purchased with his personal money,I am seeing him form years he helps everyone and he is a very charitable person, and what IndiaTv is showing is he is a very bad guy & gurudevji takes money form people for his luxury it is not like that the money which Gurudevji takes from people is for charitable activities and for building a temple in Vrindavan so that the Sanatan Mariada keeps existing. Swami Balenduji & his organization knows me very well they don't listen and understand to what others want to express and post baseless articles on internet or in other words you can say that they want publicity ""by hook or by crook"".",normal,False
142,SHAMEFUL ACT BY PAK ARMY ................NEEDS URGENTLY BEFITTING REPLY FROM INDIAN ARMY ..................,Overtly_Aggressive,True
143,i would like to see this guy in BJP,normal,False
144,She was miss world nd how to represent herself knows better than all of us,normal,False
145,India is only a secular country,Covertly_Aggressive,True
146,AUSTRALIA WILL WIN LH,normal,False
147,One common thing I noticed in above criticisms is..they all have same color!😝,Covertly_Aggressive,True
148,When this being started talking for human beings?  Maybe something is going out of handle.  My dear veterinarians please take back your patient and treat it before it becomes hazardous for the human habitation.,Covertly_Aggressive,True
149,AND MR.MODI as prime minister,normal,False
150,Worst is when trolls justify such organised murders by some false fabricated reasons. Nobody is bothered about rule and law and order for spoiling image.,normal,False
151,Yogiji should be careful  ; such thing should be avoided.,Overtly_Aggressive,True
152,We need leaders like him who are positive. If u think of change it will happen but the fact is many fear change and are cosy in status quo.,normal,False
153,So what u r saying is modi did this for paytm..card companies..kejri did odd even for ola and uber... !! Dream on.,Covertly_Aggressive,True
154,What do worng other animals that they had not get aadhar card?plz pm modi say some think.,Covertly_Aggressive,True
155,Please do your thing Sir. The country is with you.,normal,False
156,"http://www.niftyoptiontips.in/ For Nifty option tips
Like · Reply · Just now",normal,False
157,"DEAR SIR, YOU HAVE ALREADY OCCUPIED MORE LAND IN VALUE THAN THE TRADE DEFECIT",normal,False
158,Modi and Erdogan are both sides of the side of the same coin.,Covertly_Aggressive,True
159,"I am sorry;  you don't have etiquette of debating or arguing, So please keep to yourself.",Covertly_Aggressive,True
160,Just stop loudspeaker during early morning which is time for sleeping.,Overtly_Aggressive,True
161,If Shanti Doots are abusing means he is right person LOL,normal,False
162,"We also have brain, we can understand the story we can enjoy the movie. Do not need anyone's review.",normal,False
163,"Congress only makes noise, where was Rahul and Sonia, they are ashamed of listening to the truth, only their chmuche's  are present.",normal,False
164,The followers of Marx are the biggest chutiyas on the earth,Overtly_Aggressive,True
165,India is a country of hindus  as per indo-pak partition muslim has no right to live in inda . they should migrate to muslim countries or make a new partition of inda for them self,Overtly_Aggressive,True
166,"I was not expecting such a crap from this dynamic singer ,

He should have raised his voice against noise pollution but not against azaan which can hurt sentiments of minorities.",Overtly_Aggressive,True
167,U r an agent!! Shifting sides,Covertly_Aggressive,True
168,"Huge potential in Indian markets in long term!!
Just invest and forget..",normal,False
169,What's a fraud site like Timtara.com doing here ?,Overtly_Aggressive,True
170,ÀAP THUGS THINK THEY ÀRE WOŔTH  30 CR. OVERESTIMATED THEMSELVES. THEY HAVE NO CHARACTER N ARE NOT WORTH 30 CENTS. TAKE SER IS WHAT THEY R WORTH,Overtly_Aggressive,True
171,Enough of talking guys. Show us mutilated bodies of Pakistani soldiers.,normal,False
172,Court must take suo moto cognizance in this matter. An exemplary punishment be given to her so that nobody else repeats such cruelty.,Covertly_Aggressive,True
173,मनमोहन सिंह और नरेंद्र मोदी में फर्क क्या रह गया फिर।,Covertly_Aggressive,True
174,IS BIOCON STILL A LONG TERM BUY GIVEN THE HIGH VALUATIONS CURRENTLY?,normal,False
175,"Till January 2017 markets will fall, Buy in 2017 low levels for long term gains",normal,False
176,Jansatta dead,Overtly_Aggressive,True
177,Hie Sonia plz REC fut buy @169 hold or sell,normal,False
178,This stupid man is getting trolls only. Indians are not so fool. Ak is hero now.,Overtly_Aggressive,True
179,The song is great. As for the dancing... it is dirge to the demise of odissi :),normal,False
180,Did he inform police then?,Covertly_Aggressive,True
181,Its not a pakistan doing anything on indian post its a muslim sharing her opinion i hope u can now understand its not about nationality its about religion,Covertly_Aggressive,True
182,"This happened when you can't get any contract and you're going towards poverty , like abhijeet start doing politics and using hate comments similarly this guy came from nowhere and start bashing Muslims thinking he will comeback into Bollywood again :-/",Overtly_Aggressive,True
183,Indian Express news.....ignore news.,Covertly_Aggressive,True
184,Fool,Overtly_Aggressive,True
185,Its the implementation which matters. Great job dear PM ji.,normal,False
186,"Why India Should #ScrapIndusWatersTreaty
Indus Water Treaty Is Illegal
The case of the 1960 Indus waters treaty, it has been signed by then Prime Minister Jawaharlal Nehru and “nowhere it is declared that the said agreement/treaty has been signed in the name of the President of India”, 
“According to the ministry of external affairs documents, nowhere disclosed agreement has been signed by the Jawaharlal Nehru for the President of India...,” 

“According to the impugned agreement 80% water goes to Pakistan which is a serious injury to the fundamental right of the citizens of India coupled with further financial and natural injuries to national interest.”

If We Indians Keep Quit Today Our Future Generations Will Blame Us And Never Going To Forgive Us

India Need Be Like China Fast And Furious And Must Have Ability To Say On Face.
China Claim South China Sea 
China Made And Develop 7 Artificial Man Made Islands On The South China Sea So Quickly 
Then Why Can't India Stop Water From Our Own States And Union Territories Of India
We Need To Build More Dam On Indus River And Must Have Iccha-Shakti To Say Only One Sentence To World Bank F*ck Off 
India Is Scraping Indus Waters Treaty

If China Can Do For Their Mother Land 
Then Why Not India (If India Cannot Do)
Then Their Is Some Serious Problem In Our Indian Government System With Our Political Partys And Also With Our Useless Politician.
Who Just Know To Bark But Cannot Take Action.

http://siteresources.worldbank.org/INTSOUTHASIA/Resources/223497-1105737253588/IndusWatersTreaty1960.pdf",Overtly_Aggressive,True
187,Bihari....Power...✊✊✊,normal,False
188,"Varghese Robin George look alikes how much you know about him or Islam?Only media?They are 100s of controversies of pope's, churches, bishops,fathers shall i believe what media prints sitting and lying on comfort of bed, how many Muslim countries been you visited",Covertly_Aggressive,True
189,"If AAP wins election will work, people will decide else EVM will decide",Covertly_Aggressive,True
190,"Who is this barking dog from hagistan(hindustan) ,as if kicked by pak army on half face!! Indians have zero ethics",Overtly_Aggressive,True
191,"2008-2012 BJP opposed GST and now suddenly they want to pass any how. if anyone has read the pdf of finance minsitry, its not one tax, its just the name GST while VAT and sales tax replaced by CGST and SGST and service tax gets added under this rule",normal,False
192,poor mind set cnbc tv 18 .......slavery of thyrocare to make money on human potential .......stealth technology for the old news,normal,False
193,"Stop using loudspeakers in all religious places, whatsoever. Because there was no loudspeakers earlier when religions were preached.",Covertly_Aggressive,True
194,"These bigots are exploiting the religion, they only know violence and killing humans",Overtly_Aggressive,True
195,"Someone died, who is so stupid to laugh about that. I strongly encourage some common sense. A death or an injury is not a laughing matter. 

All army personnel is accountable for their actions towards every person regardless of the opposing member being from an army member or a civilian.

Actions should not go unseen rather the matter should proceed in military courts, where an adequate military prison time can be allotted. It is very difficult for governing bodies to have any peace talks, where army personnel keep acting in such a barbaric manner. 

If they are so keen on fighting, then fight for the rights of citizens. In the honorable armies, there is no room for such actions. 

ADGPI - Indian Army
Pakistan Army Official",Overtly_Aggressive,True
196,Go go Sonu!,Covertly_Aggressive,True
197,Will politician and minister pledge to take only generic medicines only? Is life of poor cheap?,Overtly_Aggressive,True
198,"Know indian govt should take strong action against pak govt even they should arrest dawwood.
Lets see know what our govt going to do?",normal,False
199,It's a shame for bill Gates to praise modi when he is responsible of killing Muslims in india and kashmir.bill gates should not become poltician.he should know how modi army abusing muslim in kashmir using youth as human shield and killing kids.bill gates should remember that for getting business he should not shake hand with people who r abusing human rights.as a muslim today I have to think should I use bill Gates company products.,normal,False
200,What the hall is these,Overtly_Aggressive,True
201,I'm just here to read some hindutards comments and eat popcorn. Where's Michael Jackson???,Overtly_Aggressive,True
202,Ha ha hrow up guys...this is not called journalism...its called chutiyapa,Overtly_Aggressive,True
203,Oh my god wow,normal,False
204,"Callum Talbot, So now you are taken history. Well let me remind you gibbering imbecile that all conquerors did the same. The Persians did it. The Romans did it by destroying the Temple of David (pbuh). The Egyptians inslaved the Jews. And countless other civilizations. You seem like you are English. Pray tell what did the British did in India for 400 years? They weren't out their picking potatos from the field were they? They raped, stole and oppressed India for over 400 years. So what gives you the right to talk about Islam on the basis of the actions of a few fruitcakes? In the words of Jesus (pbuh); ""He that is without sin shall cast the first stone"". 

P.S You are thicker than a whales omelette.",Overtly_Aggressive,True
205,"Wait bhakts,moti will conduct imaginary surgical strikes along loc,be patience :D",Covertly_Aggressive,True
